1: 233168, 0ms
2: 4613732, 0ms
3: 6857, 0ms
4: 906609, 1081ms
5: 232792560, 0ms
6: 25164150, 0ms
7: 104743, 76ms
8: 40824, 2ms
9: 31875000, 69ms
10: 142913828922, 719ms
11: 70600674, 5ms
12: 76576500, 634ms
13: 5537376230, 0ms
14: 837799, 2461ms
15: 137846528820, 0ms
16: 1366, 0ms
17: 21124, 10ms
18: 1074, 0ms
19: 171, 0ms
20: 648, 0ms
21: 31626, 2486ms
22: 871198282, 23ms
23: 4179871, 8522ms
24: 2783915460, 0ms
25: 4782, 727ms
26: 983, 18ms
27: -59231, 79822ms
28: 669171001, 1ms
29: 9183, 22ms
30: 443839, 6435ms
31: 73682, 1158ms
32: 45228, 22937ms
33: 100, 36ms
34: 40730, 894ms
35: 55, 1015ms
36: 872187, 22825ms
37: 748317, 319515ms
38: 932718654, 61ms
39: 840, 21ms
40: 210, 0ms
41: 7652413, 2455ms
42: 162, 10ms
43: 16695334890, 4ms
44: 5482660, 59990ms
45: 1533776805, 0ms
46: 5777, 334ms
47: 134043, 48995ms
48: 9110846700, 5ms
49: 296962999629, 13ms
50: 997651, 359ms
